url,label,url_length,dot_count,hyphen_count,has_at,has_ip,subdomain_count,uses_https,suspicious_words
https://cn.hcumx.com/home/register?code=40513,phishing,45,2,0,0,0,1,1,0
http://iman23.com/,phishing,18,1,0,0,0,0,0,0
http://f1del-l11ty.icu/,phishing,23,1,1,0,0,0,0,0
https://f1del-ility.sbs/7d0utk5/,phishing,32,1,1,0,0,0,1,0
https://flde-1lity.qpon/7d0utk5/,phishing,32,1,1,0,0,0,1,0
https://f1del-llity.cyou/7d0utk5/,phishing,33,1,1,0,0,0,1,0
http://f1del-1lity.icu/7d0utk5/,phishing,31,1,1,0,0,0,0,0
http://f1del-ll1ty.sbs/7d0utk5/,phishing,31,1,1,0,0,0,0,0
http://f1del-1lity.bond/7d0utk5/,phishing,32,1,1,0,0,0,0,0
http://f1del-llity.icu/7d0utk5/,phishing,31,1,1,0,0,0,0,0
http://f1del-1lity.cyou/7d0utk5/,phishing,32,1,1,0,0,0,0,0
https://f1del-lllty.cyou/7d0utk5/,phishing,33,1,1,0,0,0,1,0
http://flde-1lity.cfd/7d0utk5/,phishing,30,1,1,0,0,0,0,0
http://f1del-llity.bond/7d0utk5/,phishing,32,1,1,0,0,0,0,0
http://f1del-ility.qpon/7d0utk5/,phishing,32,1,1,0,0,0,0,0
http://flde-1lity.cyou/7d0utk5/,phishing,31,1,1,0,0,0,0,0
https://flde-1lity.icu/7d0utk5/,phishing,31,1,1,0,0,0,1,0
http://f1del-1lity.cfd/7d0utk5/,phishing,31,1,1,0,0,0,0,0
http://f1del-ll1ty.qpon/7d0utk5/,phishing,32,1,1,0,0,0,0,0
http://f1del-ll1ty.icu/7d0utk5/,phishing,31,1,1,0,0,0,0,0
http://f1del-llity.qpon/7d0utk5/,phishing,32,1,1,0,0,0,0,0
https://servicio-suscripcion.firebaseapp.com/,phishing,45,2,1,0,0,1,1,0
https://sellcentere.vercel.app/managermentloc/abcfghijklmnoqrstuv/zxcvbnmopqrstuvwxyz.html,phishing,90,3,0,0,0,1,1,0
http://lntca-29531.world/sign-in?op_token=EgVvYXV0aCJHChQ2Wjcyb0hPZDM2Tm43emszcGlyaBIJYXV0aG9yaXplGhpodHRwczovL2FkbWluLmJvb2tpbmcuY29tLyoCe31CBGNvZGUqEjDd3bSSuf4mOgBCAFjA2M2xBg,phishing,176,1,2,0,0,0,0,0
http://lntca-29531.world/,phishing,25,1,1,0,0,0,0,0
http://www.textilpavesi.com.br/wp-includes/year/,phishing,48,3,1,0,0,2,0,0
http://38.54.8.194.sslip.io/,phishing,28,5,0,0,1,4,0,0
http://home-106397.weeblysite.com/,phishing,34,2,1,0,0,1,0,0
https://view-console.vercel.app/view_console.html,phishing,49,3,1,0,0,1,1,0
http://f1del-lllty.qpon/7d0utk5/,phishing,32,1,1,0,0,0,0,0
http://flde-1lity.sbs/7d0utk5/,phishing,30,1,1,0,0,0,0,0
http://f1del-1lity.sbs/7d0utk5/,phishing,31,1,1,0,0,0,0,0
