url,label
https://cn.hcumx.com/home/register?code=40513,phishing
http://iman23.com/,phishing
http://f1del-l11ty.icu/,phishing
https://f1del-ility.sbs/7d0utk5/,phishing
https://flde-1lity.qpon/7d0utk5/,phishing
https://f1del-llity.cyou/7d0utk5/,phishing
http://f1del-1lity.icu/7d0utk5/,phishing
http://f1del-ll1ty.sbs/7d0utk5/,phishing
http://f1del-1lity.bond/7d0utk5/,phishing
http://f1del-llity.icu/7d0utk5/,phishing
http://f1del-1lity.cyou/7d0utk5/,phishing
https://f1del-lllty.cyou/7d0utk5/,phishing
http://flde-1lity.cfd/7d0utk5/,phishing
http://f1del-llity.bond/7d0utk5/,phishing
http://f1del-ility.qpon/7d0utk5/,phishing
http://flde-1lity.cyou/7d0utk5/,phishing
https://flde-1lity.icu/7d0utk5/,phishing
http://f1del-1lity.cfd/7d0utk5/,phishing
http://f1del-ll1ty.qpon/7d0utk5/,phishing
http://f1del-ll1ty.icu/7d0utk5/,phishing
http://f1del-llity.qpon/7d0utk5/,phishing
https://servicio-suscripcion.firebaseapp.com/,phishing
https://sellcentere.vercel.app/managermentloc/abcfghijklmnoqrstuv/zxcvbnmopqrstuvwxyz.html,phishing
http://lntca-29531.world/sign-in?op_token=EgVvYXV0aCJHChQ2Wjcyb0hPZDM2Tm43emszcGlyaBIJYXV0aG9yaXplGhpodHRwczovL2FkbWluLmJvb2tpbmcuY29tLyoCe31CBGNvZGUqEjDd3bSSuf4mOgBCAFjA2M2xBg,phishing
http://lntca-29531.world/,phishing
http://www.textilpavesi.com.br/wp-includes/year/,phishing
http://38.54.8.194.sslip.io/,phishing
http://home-106397.weeblysite.com/,phishing
https://view-console.vercel.app/view_console.html,phishing
http://f1del-lllty.qpon/7d0utk5/,phishing
http://flde-1lity.sbs/7d0utk5/,phishing
http://f1del-1lity.sbs/7d0utk5/,phishing
http://f1del-llity.sbs/7d0utk5/,phishing
http://f1del-lllty.icu/7d0utk5/,phishing
http://flde-1lity.bond/7d0utk5/page.html,phishing
http://f1del-1lity.cyou/7d0utk5/page.html,phishing
http://f1del-ility.sbs/7d0utk5/page.html,phishing
https://flde-1lity.icu/7d0utk5/page.html,phishing
https://f1del-ll1ty.qpon/7d0utk5/page.html,phishing
http://f1del-lllty.cyou/7d0utk5/page.html,phishing
http://flde-1lity.sbs/7d0utk5/page.html,phishing
https://f1del-1lity.sbs/7d0utk5/page.html,phishing
http://flde-1lity.cfd/7d0utk5/page.html,phishing
http://f1del-ll1ty.icu/7d0utk5/page.html,phishing
http://f1del-llity.bond/7d0utk5/page.html,phishing
http://f1del-1lity.bond/7d0utk5/page.html,phishing
http://f1del-ll1ty.sbs/7d0utk5/page.html,phishing
http://f1del-llity.sbs/7d0utk5/page.html,phishing
http://f1del-llity.cyou/7d0utk5/page.html,phishing
http://flde-1lity.cyou/7d0utk5/page.html,phishing
http://f1del-lllty.icu/7d0utk5/page.html,phishing
http://f1del-llity.icu/7d0utk5/page.html,phishing
http://f1del-llity.qpon/7d0utk5/page.html,phishing
https://f1del-1lity.cfd/7d0utk5/page.html,phishing
https://f1del-ility.qpon/7d0utk5/page.html,phishing
